,Date,Description,Amount,Transaction Type,Category,Account Name
352,10-01-2018,Grocery Store,15.66,debit,Groceries,Platinum Card
365,10-10-2018,Grocery Store,53.68,debit,Groceries,Silver Card
371,10/18/2018,Grocery Store,33.55,debit,Groceries,Platinum Card
378,10/23/2018,Grocery Store,7.57,debit,Groceries,Platinum Card
385,10/28/2018,Grocery Store,92.49,debit,Groceries,Platinum Card
387,10/31/2018,Grocery Store,5.64,debit,Groceries,Platinum Card
397,11-08-2018,Grocery Store,5.64,debit,Groceries,Platinum Card
402,11-10-2018,Foods Truck,24.4,debit,Groceries,Platinum Card
403,11-12-2018,Grocery Store,10.18,debit,Groceries,Platinum Card
405,11/13/2018,Grocery Store,4.8,debit,Groceries,Platinum Card
406,11/13/2018,Grocery Store,37.43,debit,Groceries,Platinum Card
407,11/13/2018,Grocery Store,10.15,debit,Groceries,Platinum Card
420,11/21/2018,Grocery Store,5.64,debit,Groceries,Silver Card
430,11/30/2018,Grocery Store,6.27,debit,Groceries,Silver Card
431,12-01-2018,Grocery Store,5.64,debit,Groceries,Silver Card
435,12-03-2018,Grocery Store,148.15,debit,Groceries,Silver Card
440,12-06-2018,Grocery Store,21.38,debit,Groceries,Platinum Card
441,12-06-2018,Grocery Store,13.48,debit,Groceries,Platinum Card
445,12-08-2018,Grocery Store,12.64,debit,Groceries,Platinum Card
450,12/14/2018,Grocery Store,21.39,debit,Groceries,Silver Card
481,12/29/2018,Grocery Store,55.04,debit,Groceries,Silver Card
493,01-10-2019,Grocery Store,58.79,debit,Groceries,Silver Card
497,01/15/2019,Grocery Store,6.06,debit,Groceries,Silver Card
504,01/24/2019,Grocery Store,21.06,debit,Groceries,Silver Card
523,02-12-2019,Grocery Store,30.54,debit,Groceries,Platinum Card
525,02/13/2019,Grocery Store,8.21,debit,Groceries,Platinum Card
528,02/15/2019,Grocery Store,4.59,debit,Groceries,Platinum Card
540,02/21/2019,Grocery Store,46.96,debit,Groceries,Silver Card
544,02/28/2019,Grocery Store,32.07,debit,Groceries,Silver Card
547,03-04-2019,Grocery Store,92.04,debit,Groceries,Silver Card
566,03/18/2019,Grocery Store,16.23,debit,Groceries,Platinum Card
575,03/27/2019,Grocery Store,4.46,debit,Groceries,Platinum Card
583,04-04-2019,Grocery Store,5.64,debit,Groceries,Platinum Card
589,04-09-2019,Grocery Store,10.7,debit,Groceries,Platinum Card
594,04-12-2019,Grocery Store,41.34,debit,Groceries,Platinum Card
597,04/13/2019,Grocery Store,16.87,debit,Groceries,Platinum Card
605,04/19/2019,Grocery Store,10.89,debit,Groceries,Platinum Card
615,04/29/2019,Grocery Store,5.64,debit,Groceries,Platinum Card
634,05/14/2019,Grocery Store,2.02,debit,Groceries,Silver Card
657,06-05-2019,Grocery Store,23.0,debit,Groceries,Platinum Card
660,06-06-2019,Grocery Store,5.64,debit,Groceries,Platinum Card
668,06/14/2019,Grocery Store,10.69,debit,Groceries,Silver Card
684,07-01-2019,Grocery Store,99.47,debit,Groceries,Silver Card
694,07-06-2019,Grocery Store,92.98,debit,Groceries,Platinum Card
703,07/15/2019,Grocery Store,87.14,debit,Groceries,Silver Card
710,07/18/2019,Grocery Store,29.83,debit,Groceries,Platinum Card
721,07/29/2019,Grocery Store,5.35,debit,Groceries,Platinum Card
723,07/30/2019,Grocery Store,15.77,debit,Groceries,Platinum Card
729,08-03-2019,Grocery Store,3.96,debit,Groceries,Platinum Card
738,08-08-2019,Grocery Store,11.72,debit,Groceries,Silver Card
749,08/17/2019,Grocery Store,33.15,debit,Groceries,Platinum Card
776,09-09-2019,Grocery Store,65.09,debit,Groceries,Silver Card
785,09/14/2019,Grocery Store,46.44,debit,Groceries,Platinum Card
799,09/23/2019,Grocery Store,27.71,debit,Groceries,Platinum Card
